"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_DAILY_TASK_PLAY_BATTLE_PARTY_MODE_NAME","Party!","En groupe !","Spiele einen Partymodus","Juega en el modo fiesta","Gioca a una modalità in Party","Speel een feestmodus","Party!","Parti modunda oyna","パーティーモードをプレイ","파티 모드 플레이하기","Сыграй в любом диско-режиме","وضع الحفل!","Jogue no modo Diversão","参加欢乐派对！","參加歡樂派對！","پارتی!","Main Mode Pesta!","Parti!","เล่นโหมดปาร์ตี้!","Pelaa bilepelitilaa","Tiêu khiển!"
"TID_DAILY_TASK_PLAY_BATTLE_CHALLENGE_OR_TOURNAMENT_NAME","Play a Challenge or Event","Jouer à un défi ou à un événement !","Spiele eine Herausforderung oder ein Ereignis","Juega a un desafío o a un evento","Gioca a un evento o a una sfida","Speel een uitdaging of evenement","Spill en utfordring eller event","Bir mücadele veya etkinlikte oyna","チャレンジ or イベントをプレイ","도전이나 이벤트 플레이하기","Прими участие в испытании или событии","لعب تحدي أو حدث","Jogue num evento ou desafio","参加挑战或活动","參加挑戰或活動","رویداد یا چالشی رو بازی کن","Main Tantangan atau Acara!","Main satu cabaran atau acara","เล่นความท้าทายหรืออีเวนท์","Pelaa haaste tai tapahtuma","Chơi một Thử thách hoặc Sự kiện"
"TID_DAILY_TASK_PLAY_BATTLE_RANKED_BATTLE_NAME","Play Ranked Battle","Jouer en combat classé !","Nimm an einem Ranglistenkampf teil","Batalla en el modo competitivo","Disputa una partita classificata","Speel een divisiegevecht","Spill en rangert kamp","Sıralamalı savaş yap","ランクバトルをプレイ","경쟁전 전투하기","Сразись на легендарном пути","لعب معركة مصنفة","Encare uma batalha ranqueada","参加天梯对战","參加天梯對戰","تو نبرد رتبه‌بندی‌شده بازی کن","Main Mode Peringkat!","Main Pertempuran Peringkat","เล่นการต่อสู้จัดอันดับ","Pelaa sijoitustaistelu","Tham gia Trận chiến Xếp hạng"
"TID_DAILY_TASK_PLAY_BATTLE_CLAN_WARS_OR_FRIENDLY_NAME","Clan Wars or Friendly Battles","Guerres de clans & combats amicaux !","Spiele Clankriege oder Testspiele","Guerras de clanes o batallas amistosas","Gioca un'amichevole o nelle guerre tra clan","Speel een clanoorlog of vriendschappelijk gevecht","Klankriger eller vennskapskamper","Klan savaşı veya dostluk savaşı yap","クラン対戦 or\nフレンドバトルをプレイ","클랜전 또는 친선전 플레이하기","Сыграй в войне кланов или дружеском бою","حروب القبائل أو معارك ودية","Guerras de Clãs ou batalhas amistosas","参加部落战或友谊战","參加部落戰或友誼戰","جنگ‌های قبیله‌ای یا نبردهای دوستانه","Main Perang Klan atau Pertempuran Persahabatan!","Perang Klan atau Pertempuran Persahabatan","เล่นสงครามแคลนหรือการต่อสู้ฉันมิตร","Osallistu klaanisotaan tai ystävyystaisteluun","Hội Chiến hoặc Trận chiến Giao hữu"
"TID_DAILY_TASK_PLAY_BATTLE_ANY_BATTLE_NAME","Play a Battle","Combattre !","Nimm an einem Kampf teil","Juega una batalla","Partecipa a una battaglia","Speel een gevecht","Spill en kamp","Bir savaşa katıl","バトルをプレイ","전투 플레이하기","Сразись в любом бою","العب معركة","Jogue uma batalha","参加一场对战","參加一場對戰","یک نبرد رو بازی کن","Bertempur 1 kali!","Main satu pertempuran","เล่นการต่อสู้","Pelaa taistelu","Tham gia một trận chiến"
"TID_DAILY_TASK_OPEN_CHEST_NAME","Open a Chest","Ouvrir un coffre !","Öffne eine Truhe","Abre un cofre","Apri un baule","Open een kist","Åpne en kiste","Sandık aç","宝箱を開ける","상자 개봉하기","Открой сундук","فتح صندوق","Abra um baú","打开宝箱","打開寶箱","صندوقی رو باز کن","Buka Peti!","Buka Satu Peti","เปิดหีบ","Avaa arkku","Mở một Rương"
"TID_DAILY_TASK_GET_SOMETHING_FROM_STORE_NAME","Get a Shop Offer","Acheter une offre du magasin !","Hol dir ein Shopangebot","Obtén una oferta de la tienda","Ottieni un'offerta dal negozio","Koop een winkelaanbieding","Slå til på et tilbud i butikken","Dükkan teklifi al","ショップで購入","상점에서 아이템 구매하기","Воспользуйся акцией в магазине","اقتناء عرض من المتجر","Obtenha uma oferta da loja","获取商店礼包","獲取商店特惠","یکی از پیشنهادهای فروشگاه رو بخر","Dapatkan Penawaran di Toko!","Dapatkan Tawaran","รับข้อเสนอร้านค้า","Hyödynnä kaupan tarjous","Mua một Ưu đãi từ Cửa hàng"
"TID_DAILY_TASK_REQUEST_CARDS_NAME","Request Cards","Demander des cartes !","Fordere Karten an","Pide cartas","Richiedi delle carte","Vraag naar kaarten","Be om kort","Kart isteğinde bulun","カードをリクエスト","카드 요청하기","Запроси карты","طلب بطاقات","Peça cartas","请求捐赠卡牌","請求捐贈卡牌","درخواست کارت‌ها","Minta Kartu!","Minta Kad","ขอการ์ด","Pyydä kortteja","Yêu cầu Thẻ"
"TID_DAILY_TASK_USE_EMOTE_NAME","Emote!","Émote !","Verwende ein Emote in einem Kampf","Usa una reacción","Usa una provocazione","Gebruik een emote","Bruk emoji!","İfade kullan","スタンプを使う","이모티콘 사용하기","Используй эмодзи в бою","تعبير!","Use um emote","使用表情！","使用表情！","شکلک!","Gunakan Emote!","Emote!","ใช้อีโมจิ!","Käytä emootiota taistelu taistelussa","Biểu tượng cảm xúc!"
"TID_KING_LEVEL_UNLOCK_EVOLUTION_DECK_SLOT_TITLE","+1 Evolution Slot","+1 emplacement d'évolution","+1 Entwicklungsplatz","1 hueco de evolución más","Uno slot delle evoluzioni aggiuntivo.","+1 evolutievak","+1 evolusjonsskår","Evrim bölmesi aç","限界突破スロット+1","진화 슬롯 +1개","+1 ячейка эволюции","+1 موضع تطوّر","+1 espaço de evolução","觉醒栏位+1","進化欄位+1","+1 جایگاه تکامل","+1 Slot Evolusi","+1 slot evolusi","ช่องวิวัฒนาการ +1","+1 evoluutiopaikka","+1 ô tiến hóa"
"TID_CHAIN_OFFER_EARN","Earn","Récupérez","Verdiene:","Gana","Ottieni","Verdien","Tjen","Kazan","獲得まで","획득","Заработай","اكسب","Ganhe","获得","獲得","کسب","Dapatkan","Dapatkan","รับ","Ansaitse","Kiếm được"
"TID_DAILY_TASK_WIN_BATTLES_NAME","Win Battles","Gagner des combats !","Gewinne Kämpfe","Gana batallas","Vinci delle battaglie","Win gevechten","Vinn kamper","Savaş kazan","バトルに勝利","전투에서 승리하기","Победи в боях","اربح المعارك","Vença batalhas","赢得对战","贏得對戰","نبردها رو ببر","Menangkan Pertempuran!","Memenangi Pertempuran","ชนะการต่อสู้","Voita taisteluita","Thắng trận chiến"
"TID_DAILY_TASK_EARN_CROWNS_NAME","Earn Crowns from Battles","Gagner des couronnes !","Verdiene Kronen in Kämpfen","Consigue coronas en batallas","Vinci delle corone in battaglia","Verdien kronen via gevechten","Tjen kroner fra kamper","Savaşlardan taç kazan","バトルでクラウン獲得","전투에서 크라운 획득하기","Заработай короны в боях","فز بتيجان من المعارك","Ganhe coroas em batalhas","通过对战赢取皇冠","透過對戰贏取皇冠","کسب تاج از نبردها","Raih Mahkota dari Pertempuran!","Meraih mahkota daripada pertempuran","รับมงกุฎจากการต่อสู้","Ansaitse kruunuja taisteluista","Kiếm Vương miện từ các trận chiến"
"TID_CARD_FILTERING_TITLE","Filter","Filtre","Filter","Filtro","Filtri","Filter","Filter","Filtre","フィルター","필터","Фильтр","التصفية","Filtro","筛选条件","篩選條件","فیلتر","Saring","Penapis","ฟิลเตอร์","Suodattimet","Lọc"
"TID_BATTLEBANNER_DESC_READY_TO_BLOW","Get down! It's about to blow!","Tous à couvert ! Ça va péter !","In Deckung! Gleich geht es hoch!","¡Cuerpo a tierra!","Tutti al riparo!","Zoek dekking! Het staat op ontploffen!","Ned! Den går i luften!","Dikkat! Patlamak üzere!","伏せて！もう爆発します！","모두 엎드리세요! 곧 터집니다!","Ложись! Сейчас рванет!","احترسوا! إنه على وشك الانفجار!","Pro chão! Vai explodir!","趴下！要爆炸了！","趴下！要爆了！","بخوابین رو زمین! الانه که منفجر بشه!","Berlindung! Sebentar lagi akan meledak!","Tunduk! Benda tu akan meletup!","หมอบ! มันกำลังจะระเบิดแล้ว!","Maastoutukaa! Kohta räjähtää!","Nằm xuống! Nó chuẩn bị phát nổ rồi đấy!"
"TID_CHAIN_OFFER_ALREADY_CLAIMED","Already claimed!","Déjà récupéré !","Bereits eingefordert!","¡Ya has reclamado esta oferta!","Hai già ritirato quest'offerta!","Al geclaimd!","Allerede hentet!","Zaten alındı!","回収済みです！","이미 획득했습니다!","Уже получено!","سبق أن طالبت بها!","Já resgatado!","已领取！","已領取！","قبلاً مطالبه شده!","Sudah diklaim!","Sudah dituntut!","รับไปแล้ว!","Lunastettu jo!","Đã nhận rồi!"
"TID_MULTIPLIER_X","<num>x","x<num>","<num>-fach","x<num>","x<num>","x<num>","<num>x","<num> kat","x<num>","x<num>","x<num>","x<num>","x <num>","x<num>","x<num>","x<num>","<num>x","x<num>","x<num>","x <num>","x<num>"
"TID_MYSTERY_BOX_RARITY_CHAMPION","Champion","Champion","Champion","Campeón","Campione","Kampioen","Mester","Şampiyon","チャンピオン","챔피언","Чемпион","بطل","Campeão","英雄","英雄","قهرمان","Jawara","Juara","แชมเปียน","Mestari","Vô địch"
